Unnamed: 0,Cars,2021_week,Cumulative,Avg/wk,2021_Y-t-d,country,date
Chemicals,663,-15.1%,663,-15.1%,-15.1%,Mexican,2020-01-08
Coal,17,-90.9%,17,-90.9%,-90.9%,Mexican,2020-01-08
"Farm Products excl. Grain, and Food","1,221",4.4%,"1,221",4.4%,4.4%,Mexican,2020-01-08
Forest Products,47,291.7%,47,291.7%,291.7%,Mexican,2020-01-08
Grain,"1,335",-28.2%,"1,335",-28.2%,-28.2%,Mexican,2020-01-08
Metallic Ores and Metals,"3,514",-7.8%,"3,514",-7.8%,-7.8%,Mexican,2020-01-08
Motor Vehicles and Parts,"1,237",-42.1%,"1,237",-42.1%,-42.1%,Mexican,2020-01-08
Nonmetallic Minerals,"2,755",-19.8%,"2,755",-19.8%,-19.8%,Mexican,2020-01-08
Petroleum and Petroleum Products,894,-1.8%,894,-1.8%,-1.8%,Mexican,2020-01-08
Other,245,-59.1%,245,-59.1%,-59.1%,Mexican,2020-01-08
Total Intermodal Units,"11,383",-16.2%,"11,383",-16.2%,-16.2%,Mexican,2020-01-08
Total Traffic,"23,311",-18.2%,"23,311",-18.2%,-18.2%,Mexican,2020-01-08
Total Carloads,"303,410",-3.3%,"303,410",-3.3%,-3.3%,North_american,2020-01-08
Chemicals,"43,036",0.4%,"43,036",0.4%,0.4%,North_american,2020-01-08
Coal,"76,819",-2.4%,"76,819",-2.4%,-2.4%,North_american,2020-01-08
"Farm Products excl. Grain, and Food","24,415",5.1%,"24,415",5.1%,5.1%,North_american,2020-01-08
Forest Products,"14,714",-0.8%,"14,714",-0.8%,-0.8%,North_american,2020-01-08
Grain,"27,679",-6.7%,"27,679",-6.7%,-6.7%,North_american,2020-01-08
Metallic Ores and Metals,"39,579",-4.4%,"39,579",-4.4%,-4.4%,North_american,2020-01-08
Motor Vehicles and Parts,"10,667",-29.4%,"10,667",-29.4%,-29.4%,North_american,2020-01-08
Nonmetallic Minerals,"30,894",-9.3%,"30,894",-9.3%,-9.3%,North_american,2020-01-08
Petroleum and Petroleum Products,"26,497",8.2%,"26,497",8.2%,8.2%,North_american,2020-01-08
Other,"9,110",-1.9%,"9,110",-1.9%,-1.9%,North_american,2020-01-08
Total Intermodal Units,"266,263",-5.6%,"266,263",-5.6%,-5.6%,North_american,2020-01-08
Total Traffic,"569,673",-4.4%,"569,673",-4.4%,-4.4%,North_american,2020-01-08
Total Carloads,"239,119",-10.1%,"239,119",-10.1%,-6.8%,U.S,2020-01-15
Chemicals,"33,764",2.6%,"33,764",2.6%,3.1%,U.S,2020-01-15
Coal,"70,831",-18.6%,"70,831",-18.6%,-11.0%,U.S,2020-01-15
"Farm Products excl. Grain, and Food","16,071",-2.1%,"16,071",-2.1%,-2.3%,U.S,2020-01-15
Forest Products,"10,163",-1.0%,"10,163",-1.0%,-1.7%,U.S,2020-01-15
Grain,"18,304",-25.9%,"18,304",-25.9%,-16.1%,U.S,2020-01-15
Metallic Ores and Metals,"21,059",-13.7%,"21,059",-13.7%,-9.4%,U.S,2020-01-15
Motor Vehicles and Parts,"13,902",-10.7%,"13,902",-10.7%,-15.7%,U.S,2020-01-15
Nonmetallic Minerals,"30,051",-2.6%,"30,051",-2.6%,-6.4%,U.S,2020-01-15
Petroleum and Petroleum Products,"14,303",2.8%,"14,303",2.8%,5.3%,U.S,2020-01-15
Other,"10,671",7.7%,"10,671",7.7%,6.1%,U.S,2020-01-15
Total Intermodal Units,"262,505",-9.1%,"262,505",-9.1%,-8.4%,U.S,2020-01-15
Total Traffic,"501,624",-9.6%,"501,624",-9.6%,-7.6%,U.S,2020-01-15
Total Carloads,"79,508",-6.3%,"79,508",-6.3%,-4.0%,Canadian,2020-01-15
Chemicals,"11,471",-13.9%,"11,471",-13.9%,-10.4%,Canadian,2020-01-15
Coal,"7,423",-4.6%,"7,423",-4.6%,-6.5%,Canadian,2020-01-15
"Farm Products excl. Grain, and Food","6,882",-0.9%,"6,882",-0.9%,10.3%,Canadian,2020-01-15
Forest Products,"6,573",-5.8%,"6,573",-5.8%,-2.7%,Canadian,2020-01-15
Grain,"8,158",1.4%,"8,158",1.4%,-2.9%,Canadian,2020-01-15
Metallic Ores and Metals,"14,031",-12.6%,"14,031",-12.6%,-7.9%,Canadian,2020-01-15
Motor Vehicles and Parts,"4,557",-15.3%,"4,557",-15.3%,-23.6%,Canadian,2020-01-15
Nonmetallic Minerals,"5,827",-16.1%,"5,827",-16.1%,-6.4%,Canadian,2020-01-15
Petroleum and Petroleum Products,"12,793",12.9%,"12,793",12.9%,10.9%,Canadian,2020-01-15
Other,"1,793",-15.1%,"1,793",-15.1%,-11.9%,Canadian,2020-01-15
Total Intermodal Units,"69,486",-3.9%,"69,486",-3.9%,-0.3%,Canadian,2020-01-15
Total Traffic,"148,994",-5.2%,"148,994",-5.2%,-2.4%,Canadian,2020-01-15
Total Carloads,"20,609",3.8%,"20,609",3.8%,-6.4%,Mexican,2020-01-15
Chemicals,942,-9.2%,942,-9.2%,-11.3%,Mexican,2020-01-15
Coal,15,-92.1%,15,-92.1%,-91.6%,Mexican,2020-01-15
"Farm Products excl. Grain, and Food","2,056",6.0%,"2,056",6.0%,4.8%,Mexican,2020-01-15
Forest Products,31,82.4%,31,82.4%,169.0%,Mexican,2020-01-15
Grain,"2,189",-12.6%,"2,189",-12.6%,-19.5%,Mexican,2020-01-15
Metallic Ores and Metals,"5,301",16.0%,"5,301",16.0%,3.8%,Mexican,2020-01-15
Motor Vehicles and Parts,"4,120",16.9%,"4,120",16.9%,-5.4%,Mexican,2020-01-15
Nonmetallic Minerals,"4,334",10.9%,"4,334",10.9%,-3.3%,Mexican,2020-01-15
Petroleum and Petroleum Products,822,-25.3%,822,-25.3%,-8.4%,Mexican,2020-01-15
Other,799,-24.8%,799,-24.8%,-37.9%,Mexican,2020-01-15
Total Intermodal Units,"18,735",-0.2%,"18,735",-0.2%,-3.4%,Mexican,2020-01-15
Total Traffic,"39,344",1.9%,"39,344",1.9%,-5.0%,Mexican,2020-01-15
Total Carloads,"339,236",-8.5%,"339,236",-8.5%,-6.1%,North_american,2020-01-15
Chemicals,"46,177",-2.3%,"46,177",-2.3%,-1.0%,North_american,2020-01-15
Coal,"78,269",-17.6%,"78,269",-17.6%,-10.7%,North_american,2020-01-15
"Farm Products excl. Grain, and Food","25,009",-1.2%,"25,009",-1.2%,1.8%,North_american,2020-01-15
Forest Products,"16,767",-2.9%,"16,767",-2.9%,-1.9%,North_american,2020-01-15
Grain,"28,651",-18.7%,"28,651",-18.7%,-13.2%,North_american,2020-01-15
Metallic Ores and Metals,"40,391",-10.3%,"40,391",-10.3%,-7.6%,North_american,2020-01-15
Motor Vehicles and Parts,"22,579",-7.8%,"22,579",-7.8%,-16.0%,North_american,2020-01-15
Nonmetallic Minerals,"40,212",-3.6%,"40,212",-3.6%,-6.1%,North_american,2020-01-15
Petroleum and Petroleum Products,"27,918",6.0%,"27,918",6.0%,7.3%,North_american,2020-01-15
Other,"13,263",1.4%,"13,263",1.4%,-0.1%,North_american,2020-01-15
Total Intermodal Units,"350,726",-7.7%,"350,726",-7.7%,-6.6%,North_american,2020-01-15
Total Traffic,"689,962",-8.1%,"689,962",-8.1%,-6.4%,North_american,2020-01-15
Total Carloads,"237,394",-8.4%,"237,394",-8.4%,-7.4%,U.S,2020-01-22
Chemicals,"32,478",2.0%,"32,478",2.0%,2.7%,U.S,2020-01-22
Coal,"70,388",-20.0%,"70,388",-20.0%,-14.2%,U.S,2020-01-22
"Farm Products excl. Grain, and Food","15,194",-1.0%,"15,194",-1.0%,-1.9%,U.S,2020-01-22
Forest Products,"9,757",-8.7%,"9,757",-8.7%,-4.1%,U.S,2020-01-22
Grain,"19,373",-15.8%,"19,373",-15.8%,-16.0%,U.S,2020-01-22
Metallic Ores and Metals,"21,616",4.0%,"21,616",4.0%,-5.3%,U.S,2020-01-22
Motor Vehicles and Parts,"15,643",-4.7%,"15,643",-4.7%,-11.3%,U.S,2020-01-22
Nonmetallic Minerals,"29,973",-0.1%,"29,973",-0.1%,-4.2%,U.S,2020-01-22
Petroleum and Petroleum Products,"12,730",-7.1%,"12,730",-7.1%,1.0%,U.S,2020-01-22
Other,"10,242",9.7%,"10,242",9.7%,7.4%,U.S,2020-01-22
Total Intermodal Units,"262,338",-7.7%,"262,338",-7.7%,-8.1%,U.S,2020-01-22
Total Traffic,"499,732",-8.0%,"499,732",-8.0%,-7.8%,U.S,2020-01-22
Total Carloads,"69,368",-18.3%,"69,368",-18.3%,-8.9%,Canadian,2020-01-22
Chemicals,"10,358",-18.7%,"10,358",-18.7%,-13.2%,Canadian,2020-01-22
Coal,"3,980",-50.5%,"3,980",-50.5%,-21.5%,Canadian,2020-01-22
"Farm Products excl. Grain, and Food","7,179",-3.2%,"7,179",-3.2%,5.6%,Canadian,2020-01-22
Forest Products,"5,740",-25.9%,"5,740",-25.9%,-11.7%,Canadian,2020-01-22
Grain,"5,707",-36.1%,"5,707",-36.1%,-15.1%,Canadian,2020-01-22
Metallic Ores and Metals,"15,066",-2.6%,"15,066",-2.6%,-6.2%,Canadian,2020-01-22
Motor Vehicles and Parts,"4,670",-19.2%,"4,670",-19.2%,-21.9%,Canadian,2020-01-22
Nonmetallic Minerals,"5,199",-16.0%,"5,199",-16.0%,-9.7%,Canadian,2020-01-22
Petroleum and Petroleum Products,"9,960",-8.2%,"9,960",-8.2%,4.7%,Canadian,2020-01-22
Other,"1,509",-11.1%,"1,509",-11.1%,-11.6%,Canadian,2020-01-22
Total Intermodal Units,"61,451",-13.3%,"61,451",-13.3%,-5.0%,Canadian,2020-01-22
Total Traffic,"130,819",-16.0%,"130,819",-16.0%,-7.2%,Canadian,2020-01-22
Total Carloads,"20,908",12.7%,"20,908",12.7%,0.2%,Mexican,2020-01-22
Chemicals,"1,027",7.7%,"1,027",7.7%,-4.8%,Mexican,2020-01-22
Coal,16,-88.2%,16,-88.2%,-90.7%,Mexican,2020-01-22
"Farm Products excl. Grain, and Food","2,158",36.8%,"2,158",36.8%,15.5%,Mexican,2020-01-22
Forest Products,57,62.9%,57,62.9%,110.9%,Mexican,2020-01-22
Grain,"2,242",10.7%,"2,242",10.7%,-10.0%,Mexican,2020-01-22
Metallic Ores and Metals,"4,928",11.6%,"4,928",11.6%,6.5%,Mexican,2020-01-22
Motor Vehicles and Parts,"4,048",-2.7%,"4,048",-2.7%,-4.3%,Mexican,2020-01-22
Nonmetallic Minerals,"4,446",17.0%,"4,446",17.0%,3.7%,Mexican,2020-01-22
Petroleum and Petroleum Products,"1,074",143.0%,"1,074",143.0%,20.5%,Mexican,2020-01-22
Other,912,-9.4%,912,-9.4%,-27.3%,Mexican,2020-01-22
Total Intermodal Units,"18,982",7.7%,"18,982",7.7%,0.6%,Mexican,2020-01-22
Total Traffic,"39,890",10.3%,"39,890",10.3%,0.4%,Mexican,2020-01-22
Total Carloads,"327,670",-9.6%,"327,670",-9.6%,-7.3%,North_american,2020-01-22
Chemicals,"43,863",-3.7%,"43,863",-3.7%,-1.9%,North_american,2020-01-22
Coal,"74,384",-22.7%,"74,384",-22.7%,-15.0%,North_american,2020-01-22
"Farm Products excl. Grain, and Food","24,531",0.8%,"24,531",0.8%,1.4%,North_american,2020-01-22
Forest Products,"15,554",-15.8%,"15,554",-15.8%,-7.0%,North_american,2020-01-22
Grain,"27,322",-19.5%,"27,322",-19.5%,-15.4%,North_american,2020-01-22
Metallic Ores and Metals,"41,610",2.3%,"41,610",2.3%,-4.4%,North_american,2020-01-22
Motor Vehicles and Parts,"24,361",-7.6%,"24,361",-7.6%,-12.7%,North_american,2020-01-22
Nonmetallic Minerals,"39,618",-0.9%,"39,618",-0.9%,-4.3%,North_american,2020-01-22
Petroleum and Petroleum Products,"23,764",-5.0%,"23,764",-5.0%,3.3%,North_american,2020-01-22
Other,"12,663",5.1%,"12,663",5.1%,1.8%,North_american,2020-01-22
Total Intermodal Units,"342,771",-8.1%,"342,771",-8.1%,-7.1%,North_american,2020-01-22
Total Traffic,"670,441",-8.8%,"670,441",-8.8%,-7.2%,North_american,2020-01-22
Total Carloads,"232,317",-6.7%,"232,317",-6.7%,-7.2%,U.S,2020-01-29
Chemicals,"31,284",0.3%,"31,284",0.3%,2.1%,U.S,2020-01-29
Coal,"68,295",-17.4%,"68,295",-17.4%,-15.0%,U.S,2020-01-29
"Farm Products excl. Grain, and Food","15,993",0.3%,"15,993",0.3%,-1.3%,U.S,2020-01-29
Forest Products,"9,580",-6.4%,"9,580",-6.4%,-4.7%,U.S,2020-01-29
Grain,"21,723",1.3%,"21,723",1.3%,-11.8%,U.S,2020-01-29
Metallic Ores and Metals,"20,918",5.4%,"20,918",5.4%,-2.8%,U.S,2020-01-29
Motor Vehicles and Parts,"14,482",-7.9%,"14,482",-7.9%,-10.4%,U.S,2020-01-29
Nonmetallic Minerals,"27,906",-7.5%,"27,906",-7.5%,-5.1%,U.S,2020-01-29
Petroleum and Petroleum Products,"13,662",0.2%,"13,662",0.2%,0.8%,U.S,2020-01-29
Other,"8,474",2.8%,"8,474",2.8%,6.3%,U.S,2020-01-29
Total Intermodal Units,"252,965",-7.4%,"252,965",-7.4%,-7.9%,U.S,2020-01-29
Total Traffic,"485,282",-7.1%,"485,282",-7.1%,-7.6%,U.S,2020-01-29
Total Carloads,"80,758",-0.4%,"80,758",-0.4%,-6.8%,Canadian,2020-01-29
Chemicals,"11,797",-6.3%,"11,797",-6.3%,-11.5%,Canadian,2020-01-29
Coal,"5,317",-38.8%,"5,317",-38.8%,-26.2%,Canadian,2020-01-29
"Farm Products excl. Grain, and Food","8,705",14.0%,"8,705",14.0%,7.8%,Canadian,2020-01-29
Forest Products,"6,571",-11.4%,"6,571",-11.4%,-11.6%,Canadian,2020-01-29
Grain,"7,314",-7.7%,"7,314",-7.7%,-13.3%,Canadian,2020-01-29
Metallic Ores and Metals,"16,047",8.7%,"16,047",8.7%,-2.7%,Canadian,2020-01-29
Motor Vehicles and Parts,"4,734",4.1%,"4,734",4.1%,-15.8%,Canadian,2020-01-29
Nonmetallic Minerals,"5,701",-7.9%,"5,701",-7.9%,-9.2%,Canadian,2020-01-29
Petroleum and Petroleum Products,"13,057",34.6%,"13,057",34.6%,11.4%,Canadian,2020-01-29
Other,"1,515",-5.4%,"1,515",-5.4%,-10.2%,Canadian,2020-01-29
Total Intermodal Units,"68,925",3.6%,"68,925",3.6%,-2.8%,Canadian,2020-01-29
Total Traffic,"149,683",1.4%,"149,683",1.4%,-5.0%,Canadian,2020-01-29
Total Carloads,"20,468",14.9%,"20,468",14.9%,3.9%,Mexican,2020-01-29
Chemicals,916,-11.2%,916,-11.2%,-6.5%,Mexican,2020-01-29
Coal,26,-83.9%,26,-83.9%,-89.1%,Mexican,2020-01-29
"Farm Products excl. Grain, and Food","2,110",17.6%,"2,110",17.6%,16.1%,Mexican,2020-01-29
Forest Products,51,240.0%,51,240.0%,135.4%,Mexican,2020-01-29
Grain,"2,161",24.3%,"2,161",24.3%,-2.7%,Mexican,2020-01-29
Metallic Ores and Metals,"4,646",17.3%,"4,646",17.3%,9.0%,Mexican,2020-01-29
Motor Vehicles and Parts,"4,574",25.6%,"4,574",25.6%,3.8%,Mexican,2020-01-29
Nonmetallic Minerals,"4,264",19.2%,"4,264",19.2%,7.4%,Mexican,2020-01-29
Petroleum and Petroleum Products,888,9.1%,888,9.1%,17.5%,Mexican,2020-01-29
Other,832,-23.5%,832,-23.5%,-26.2%,Mexican,2020-01-29
Total Intermodal Units,"19,247",52.6%,"19,247",52.6%,11.3%,Mexican,2020-01-29
Total Traffic,"39,715",30.5%,"39,715",30.5%,7.3%,Mexican,2020-01-29
Total Carloads,"333,543",-4.1%,"333,543",-4.1%,-6.5%,North_american,2020-01-29
Chemicals,"43,997",-1.8%,"43,997",-1.8%,-1.9%,North_american,2020-01-29
Coal,"73,638",-19.5%,"73,638",-19.5%,-16.2%,North_american,2020-01-29
"Farm Products excl. Grain, and Food","26,808",5.6%,"26,808",5.6%,2.5%,North_american,2020-01-29
Forest Products,"16,202",-8.3%,"16,202",-8.3%,-7.3%,North_american,2020-01-29
Grain,"31,198",0.3%,"31,198",0.3%,-11.6%,North_american,2020-01-29
Metallic Ores and Metals,"41,611",7.9%,"41,611",7.9%,-1.6%,North_american,2020-01-29
Motor Vehicles and Parts,"23,790",-0.5%,"23,790",-0.5%,-9.4%,North_american,2020-01-29
Nonmetallic Minerals,"37,871",-5.2%,"37,871",-5.2%,-4.5%,North_american,2020-01-29
Petroleum and Petroleum Products,"27,607",14.4%,"27,607",14.4%,5.9%,North_american,2020-01-29
Other,"10,821",-1.0%,"10,821",-1.0%,1.1%,North_american,2020-01-29
Total Intermodal Units,"341,137",-3.1%,"341,137",-3.1%,-6.1%,North_american,2020-01-29
Total Traffic,"674,680",-3.6%,"674,680",-3.6%,-6.3%,North_american,2020-01-29
Total Carloads,"241,339",-0.6%,"241,339",-0.6%,-5.9%,U.S,2020-02-05
Chemicals,"33,035",1.8%,"33,035",1.8%,2.1%,U.S,2020-02-05
Coal,"69,261",-8.6%,"69,261",-8.6%,-13.8%,U.S,2020-02-05
"Farm Products excl. Grain, and Food","16,276",10.4%,"16,276",10.4%,0.9%,U.S,2020-02-05
Forest Products,"10,272",-1.2%,"10,272",-1.2%,-4.0%,U.S,2020-02-05
Grain,"19,158",-10.7%,"19,158",-10.7%,-11.6%,U.S,2020-02-05
Metallic Ores and Metals,"22,591",19.2%,"22,591",19.2%,1.1%,U.S,2020-02-05
Motor Vehicles and Parts,"16,909",10.3%,"16,909",10.3%,-6.0%,U.S,2020-02-05
Nonmetallic Minerals,"30,044",1.6%,"30,044",1.6%,-3.7%,U.S,2020-02-05
Petroleum and Petroleum Products,"13,256",2.0%,"13,256",2.0%,1.1%,U.S,2020-02-05
Other,"10,537",-4.9%,"10,537",-4.9%,3.6%,U.S,2020-02-05
Total Intermodal Units,"268,822",5.2%,"268,822",5.2%,-5.4%,U.S,2020-02-05
Total Traffic,"510,161",2.4%,"510,161",2.4%,-5.6%,U.S,2020-02-05
Total Carloads,"84,949",10.6%,"84,949",10.6%,-3.5%,Canadian,2020-02-05
Chemicals,"12,290",-2.7%,"12,290",-2.7%,-9.7%,Canadian,2020-02-05
Coal,"6,641",-24.5%,"6,641",-24.5%,-25.8%,Canadian,2020-02-05
"Farm Products excl. Grain, and Food","8,149",15.5%,"8,149",15.5%,9.3%,Canadian,2020-02-05
Forest Products,"7,029",-0.2%,"7,029",-0.2%,-9.3%,Canadian,2020-02-05
Grain,"7,809",3.0%,"7,809",3.0%,-10.2%,Canadian,2020-02-05
Metallic Ores and Metals,"16,680",23.4%,"16,680",23.4%,2.0%,Canadian,2020-02-05
Motor Vehicles and Parts,"5,773",26.0%,"5,773",26.0%,-7.9%,Canadian,2020-02-05
Nonmetallic Minerals,"5,972",4.9%,"5,972",4.9%,-6.5%,Canadian,2020-02-05
Petroleum and Petroleum Products,"12,988",50.9%,"12,988",50.9%,17.9%,Canadian,2020-02-05
Other,"1,618",24.4%,"1,618",24.4%,-4.7%,Canadian,2020-02-05
Total Intermodal Units,"73,106",18.0%,"73,106",18.0%,1.1%,Canadian,2020-02-05
Total Traffic,"158,055",13.9%,"158,055",13.9%,-1.4%,Canadian,2020-02-05
Total Carloads,"20,550",11.4%,"20,550",11.4%,5.4%,Mexican,2020-02-05
Chemicals,995,7.8%,995,7.8%,-3.7%,Mexican,2020-02-05
Coal,28,-80.4%,28,-80.4%,-87.6%,Mexican,2020-02-05
"Farm Products excl. Grain, and Food","2,126",25.1%,"2,126",25.1%,18.0%,Mexican,2020-02-05
Forest Products,45,181.3%,45,181.3%,143.2%,Mexican,2020-02-05
Grain,"2,176",-4.4%,"2,176",-4.4%,-3.0%,Mexican,2020-02-05
Metallic Ores and Metals,"4,636",6.7%,"4,636",6.7%,8.6%,Mexican,2020-02-05
Motor Vehicles and Parts,"4,597",30.9%,"4,597",30.9%,9.4%,Mexican,2020-02-05
Nonmetallic Minerals,"4,238",8.8%,"4,238",8.8%,7.7%,Mexican,2020-02-05
Petroleum and Petroleum Products,834,11.6%,834,11.6%,16.4%,Mexican,2020-02-05
Other,875,-2.8%,875,-2.8%,-21.7%,Mexican,2020-02-05
Total Intermodal Units,"20,741",70.1%,"20,741",70.1%,21.0%,Mexican,2020-02-05
Total Traffic,"41,291",34.7%,"41,291",34.7%,12.5%,Mexican,2020-02-05
Total Carloads,"346,838",2.6%,"346,838",2.6%,-4.7%,North_american,2020-02-05
Chemicals,"46,320",0.7%,"46,320",0.7%,-1.4%,North_american,2020-02-05
Coal,"75,930",-10.4%,"75,930",-10.4%,-15.1%,North_american,2020-02-05
"Farm Products excl. Grain, and Food","26,551",13.0%,"26,551",13.0%,4.5%,North_american,2020-02-05
Forest Products,"17,346",-0.7%,"17,346",-0.7%,-6.0%,North_american,2020-02-05
Grain,"29,143",-6.9%,"29,143",-6.9%,-10.7%,North_american,2020-02-05
Metallic Ores and Metals,"43,907",19.3%,"43,907",19.3%,2.2%,North_american,2020-02-05
Motor Vehicles and Parts,"27,279",16.5%,"27,279",16.5%,-4.1%,North_american,2020-02-05
Nonmetallic Minerals,"40,254",2.8%,"40,254",2.8%,-3.1%,North_american,2020-02-05
Petroleum and Petroleum Products,"27,078",21.2%,"27,078",21.2%,8.7%,North_american,2020-02-05
Other,"13,030",-1.9%,"13,030",-1.9%,0.4%,North_american,2020-02-05
Total Intermodal Units,"362,669",10.0%,"362,669",10.0%,-3.0%,North_american,2020-02-05
Total Traffic,"709,507",6.2%,"709,507",6.2%,-3.9%,North_american,2020-02-05
Total Carloads,"232,116",-4.2%,"232,116",-4.2%,-5.6%,U.S,2020-02-12
Chemicals,"32,670",2.8%,"32,670",2.8%,2.2%,U.S,2020-02-12
Coal,"64,996",-14.1%,"64,996",-14.1%,-13.9%,U.S,2020-02-12
"Farm Products excl. Grain, and Food","16,256",8.0%,"16,256",8.0%,2.1%,U.S,2020-02-12
Forest Products,"9,725",-0.5%,"9,725",-0.5%,-3.4%,U.S,2020-02-12
Grain,"20,888",0.6%,"20,888",0.6%,-9.7%,U.S,2020-02-12
Metallic Ores and Metals,"19,181",-2.6%,"19,181",-2.6%,0.5%,U.S,2020-02-12
Motor Vehicles and Parts,"16,376",-4.1%,"16,376",-4.1%,-5.6%,U.S,2020-02-12
Nonmetallic Minerals,"28,354",-9.0%,"28,354",-9.0%,-4.6%,U.S,2020-02-12
Petroleum and Petroleum Products,"12,770",0.2%,"12,770",0.2%,0.9%,U.S,2020-02-12
Other,"10,900",28.3%,"10,900",28.3%,7.4%,U.S,2020-02-12
Total Intermodal Units,"253,213",-8.8%,"253,213",-8.8%,-6.0%,U.S,2020-02-12
Total Traffic,"485,329",-6.6%,"485,329",-6.6%,-5.8%,U.S,2020-02-12
Total Carloads,"76,168",6.6%,"76,168",6.6%,-2.0%,Canadian,2020-02-12
Chemicals,"10,777",-2.9%,"10,777",-2.9%,-8.7%,Canadian,2020-02-12
Coal,"4,746",-33.2%,"4,746",-33.2%,-26.9%,Canadian,2020-02-12
"Farm Products excl. Grain, and Food","6,779",4.9%,"6,779",4.9%,8.7%,Canadian,2020-02-12
Forest Products,"6,292",1.8%,"6,292",1.8%,-7.6%,Canadian,2020-02-12
Grain,"6,559",-7.2%,"6,559",-7.2%,-9.7%,Canadian,2020-02-12
Metallic Ores and Metals,"15,466",10.6%,"15,466",10.6%,3.3%,Canadian,2020-02-12
Motor Vehicles and Parts,"5,259",-2.2%,"5,259",-2.2%,-6.8%,Canadian,2020-02-12
Nonmetallic Minerals,"6,342",15.0%,"6,342",15.0%,-3.2%,Canadian,2020-02-12
Petroleum and Petroleum Products,"12,377",72.5%,"12,377",72.5%,24.6%,Canadian,2020-02-12
Other,"1,571",3.6%,"1,571",3.6%,-3.4%,Canadian,2020-02-12
Total Intermodal Units,"62,145",0.1%,"62,145",0.1%,1.0%,Canadian,2020-02-12
Total Traffic,"138,313",3.5%,"138,313",3.5%,-0.7%,Canadian,2020-02-12
Total Carloads,"19,225",6.7%,"19,225",6.7%,5.6%,Mexican,2020-02-12
Chemicals,958,3.3%,958,3.3%,-2.6%,Mexican,2020-02-12
Coal,21,-89.4%,21,-89.4%,-88.0%,Mexican,2020-02-12
"Farm Products excl. Grain, and Food","2,094",60.1%,"2,094",60.1%,23.8%,Mexican,2020-02-12
Forest Products,40,100.0%,40,100.0%,135.7%,Mexican,2020-02-12
Grain,"2,222",10.2%,"2,222",10.2%,-0.9%,Mexican,2020-02-12
Metallic Ores and Metals,"4,070",2.1%,"4,070",2.1%,7.5%,Mexican,2020-02-12
Motor Vehicles and Parts,"4,055",-0.5%,"4,055",-0.5%,7.5%,Mexican,2020-02-12
Nonmetallic Minerals,"4,139",7.3%,"4,139",7.3%,7.7%,Mexican,2020-02-12
Petroleum and Petroleum Products,956,35.0%,956,35.0%,19.3%,Mexican,2020-02-12
Other,670,-27.3%,670,-27.3%,-22.6%,Mexican,2020-02-12
Total Intermodal Units,"17,231",13.8%,"17,231",13.8%,19.8%,Mexican,2020-02-12
Total Traffic,"36,456",9.9%,"36,456",9.9%,12.0%,Mexican,2020-02-12
Total Carloads,"327,509",-1.3%,"327,509",-1.3%,-4.2%,North_american,2020-02-12
Chemicals,"44,405",1.4%,"44,405",1.4%,-0.9%,North_american,2020-02-12
Coal,"69,763",-15.9%,"69,763",-15.9%,-15.2%,North_american,2020-02-12
"Farm Products excl. Grain, and Food","25,129",10.1%,"25,129",10.1%,5.4%,North_american,2020-02-12
Forest Products,"16,057",0.5%,"16,057",0.5%,-4.9%,North_american,2020-02-12
Grain,"29,669",-0.6%,"29,669",-0.6%,-9.1%,North_american,2020-02-12
Metallic Ores and Metals,"38,717",2.8%,"38,717",2.8%,2.3%,North_american,2020-02-12
Motor Vehicles and Parts,"25,690",-3.1%,"25,690",-3.1%,-3.9%,North_american,2020-02-12
Nonmetallic Minerals,"38,835",-4.2%,"38,835",-4.2%,-3.3%,North_american,2020-02-12
Petroleum and Petroleum Products,"26,103",26.6%,"26,103",26.6%,11.3%,North_american,2020-02-12
Other,"13,141",20.2%,"13,141",20.2%,3.5%,North_american,2020-02-12
Total Intermodal Units,"332,589",-6.3%,"332,589",-6.3%,-3.6%,North_american,2020-02-12
Total Traffic,"660,098",-3.8%,"660,098",-3.8%,-3.9%,North_american,2020-02-12
Total Carloads,"227,447",-9.1%,"227,447",-9.1%,-6.1%,U.S,2020-02-19
Chemicals,"32,465",0.4%,"32,465",0.4%,1.9%,U.S,2020-02-19
Coal,"63,045",-21.4%,"63,045",-21.4%,-14.9%,U.S,2020-02-19
"Farm Products excl. Grain, and Food","15,133",-5.0%,"15,133",-5.0%,1.0%,U.S,2020-02-19
Forest Products,"9,565",-4.2%,"9,565",-4.2%,-3.5%,U.S,2020-02-19
Grain,"18,325",-14.0%,"18,325",-14.0%,-10.3%,U.S,2020-02-19
Metallic Ores and Metals,"20,859",2.9%,"20,859",2.9%,0.8%,U.S,2020-02-19
Motor Vehicles and Parts,"17,583",4.1%,"17,583",4.1%,-4.1%,U.S,2020-02-19
Nonmetallic Minerals,"28,381",-11.3%,"28,381",-11.3%,-5.7%,U.S,2020-02-19
Petroleum and Petroleum Products,"12,622",6.2%,"12,622",6.2%,1.6%,U.S,2020-02-19
Other,"9,469",-0.3%,"9,469",-0.3%,6.3%,U.S,2020-02-19
Total Intermodal Units,"251,690",-8.0%,"251,690",-8.0%,-6.3%,U.S,2020-02-19
Total Traffic,"479,137",-8.6%,"479,137",-8.6%,-6.2%,U.S,2020-02-19
Total Carloads,"75,421",3.2%,"75,421",3.2%,-1.3%,Canadian,2020-02-19
Chemicals,"12,295",5.8%,"12,295",5.8%,-6.8%,Canadian,2020-02-19
